'Lat','Long',
3956.3679,11624.1521,259
3956.3678,11624.1522,259
3956.3676,11624.1523,258
3956.3676,11624.1523,257
3956.3675,11624.1524,257
3956.3674,11624.1524,256
3956.3672,11624.1526,256
3956.3675,11624.1523,255
3956.368,11624.1517,255
3956.3683,11624.151,254
3956.3684,11624.1505,253
3956.3686,11624.15,253
3956.3687,11624.1494,252
3956.3687,11624.149,252
3956.3688,11624.1486,252
3956.369,11624.1484,252
3956.3691,11624.1483,251
3956.3692,11624.1482,251
3956.3691,11624.1483,251
3956.3691,11624.1483,251
3956.3693,11624.1481,251
3956.3697,11624.1477,250
3956.3699,11624.1476,250
3956.3702,11624.1474,250
3956.3705,11624.1472,250
3956.371,11624.1469,250
3956.3712,11624.1467,249
3956.371,11624.1468,249
3956.3709,11624.1464,249
3956.3711,11624.1454,249
3956.3714,11624.1447,249
3956.3715,11624.1441,248
3956.3714,11624.1435,248
3956.3714,11624.1427,248
3956.3714,11624.1417,248
3956.371,11624.141,248
3956.3705,11624.1402,248
3956.3702,11624.1392,247
3956.3697,11624.1383,246
3956.3693,11624.1372,245
3956.3689,11624.1362,245
3956.3684,11624.1352,244
3956.3679,11624.1342,245
3956.3676,11624.1332,244
3956.3671,11624.1321,244
3956.3667,11624.1312,244
3956.3665,11624.13,245
3956.3663,11624.1289,246
3956.3662,11624.1276,247
3956.3661,11624.1263,245
3956.3664,11624.1251,243
3956.3667,11624.1237,241
3956.3666,11624.1222,240
3956.3664,11624.1206,239
3956.3663,11624.1188,239
3956.3665,11624.1166,240
3956.3666,11624.1147,240
3956.3666,11624.1128,240
3956.3669,11624.1107,240
3956.367,11624.1085,240
3956.367,11624.1066,242
3956.367,11624.1046,244
3956.3669,11624.1026,244
3956.3667,11624.1006,245
3956.3667,11624.0985,245
3956.3667,11624.0964,246
3956.3668,11624.0942,248
3956.367,11624.0919,249
3956.3672,11624.0896,249
3956.3678,11624.0871,250
3956.3679,11624.0848,251
3956.3683,11624.0823,251
3956.3684,11624.0801,252
3956.3682,11624.0779,252
3956.368,11624.0759,252
3956.3678,11624.074,253
3956.3675,11624.072,253
3956.3675,11624.0697,254
3956.3675,11624.0675,256
3956.3673,11624.0658,257
3956.3672,11624.0641,258
3956.367,11624.0626,258
3956.367,11624.0609,258
3956.367,11624.059,257
3956.367,11624.0569,256
3956.3671,11624.0546,256
3956.367,11624.0525,256
3956.3664,11624.0506,255
3956.3661,11624.0486,253
3956.3657,11624.0467,253
3956.3653,11624.0448,252
3956.3651,11624.0427,251
3956.3649,11624.0406,251
3956.3649,11624.0382,251
3956.3651,11624.0357,252
3956.3651,11624.0337,254
3956.3654,11624.0319,256
3956.3653,11624.0305,257
3956.365,11624.0295,258
3956.3647,11624.0284,258
3956.3646,11624.0272,258
3956.3647,11624.0259,259
3956.3644,11624.0243,259
3956.3644,11624.0226,259
3956.3641,11624.0208,259
3956.3637,11624.0187,260
3956.3636,11624.0168,258
3956.3635,11624.0146,257
3956.3636,11624.0125,258
3956.3635,11624.0104,257
3956.3638,11624.0078,258
3956.3635,11624.0056,258
3956.3635,11624.0033,259
3956.3634,11624.001,260
3956.3636,11623.9985,260
3956.3635,11623.9962,261
3956.3633,11623.9939,261
3956.3633,11623.9918,262
3956.3634,11623.9896,262
3956.3638,11623.9874,262
3956.3636,11623.9856,262
3956.3636,11623.9838,262
3956.3637,11623.9819,262
3956.3639,11623.9799,261
3956.3641,11623.9777,259
3956.3642,11623.9755,259
3956.3641,11623.9734,258
3956.3643,11623.9712,257
3956.3641,11623.9692,256
3956.3639,11623.9671,256
3956.3637,11623.9651,257
3956.3639,11623.9632,257
3956.3641,11623.9612,258
3956.3642,11623.9595,258
3956.3643,11623.9577,259
3956.3645,11623.956,260
3956.3643,11623.9545,260
3956.3639,11623.9531,261
3956.3638,11623.9516,263
3956.3639,11623.95,265
3956.364,11623.9486,268
3956.3642,11623.9473,269
3956.3646,11623.9459,270
3956.3651,11623.9445,270
3956.3655,11623.9436,270
3956.3658,11623.9432,270
3956.3661,11623.9429,270
3956.3664,11623.9425,269
3956.3666,11623.9423,269
3956.3669,11623.942,268
3956.3673,11623.9418,268
3956.3676,11623.9415,268
3956.3677,11623.9412,269
3956.3678,11623.9409,269
3956.3679,11623.9407,269
3956.368,11623.9408,268
3956.3682,11623.9408,268
3956.3684,11623.9406,269
3956.3686,11623.9404,269
3956.3687,11623.94,270
3956.3688,11623.9398,270
3956.3689,11623.9396,270
3956.369,11623.9393,270
3956.3692,11623.9392,270
3956.3693,11623.9391,269
3956.3693,11623.9392,269
3956.3694,11623.9391,269
3956.3695,11623.939,269
3956.3696,11623.9389,269
3956.3696,11623.9389,269
3956.3696,11623.9389,269
3956.3696,11623.9388,268
3956.3697,11623.9386,268
3956.3697,11623.9384,268
3956.3698,11623.9381,267
3956.37,11623.938,267
3956.3701,11623.9379,266
3956.3701,11623.9379,266
3956.3702,11623.9379,266
3956.3704,11623.9378,265
3956.3704,11623.9377,265
3956.3704,11623.9376,264
3956.3704,11623.9374,264
3956.3705,11623.9374,264
3956.3705,11623.9372,264
3956.3706,11623.9372,263
3956.3706,11623.9373,263
3956.3707,11623.9375,263
3956.3708,11623.9377,262
3956.3709,11623.9378,261
3956.3709,11623.9379,261
3956.3709,11623.938,261
3956.3709,11623.9379,261
3956.3709,11623.9378,260
3956.3709,11623.9379,260
3956.3708,11623.9381,259
3956.3708,11623.9384,259
3956.3709,11623.9385,259
3956.371,11623.9387,258
3956.371,11623.9389,258
3956.371,11623.9391,258
3956.371,11623.9393,257
3956.371,11623.9392,257
3956.3709,11623.9391,257
3956.3708,11623.939,257
3956.3707,11623.9389,256
3956.3706,11623.9389,256
3956.3705,11623.9389,256
3956.3704,11623.9389,256
3956.3703,11623.9389,256
3956.3703,11623.939,256
3956.3702,11623.939,255
3956.3701,11623.939,255
3956.3701,11623.939,255
3956.37,11623.9389,255
3956.3699,11623.9387,255
